epsilon geometric spectral combined limit
0.1 3.90470785361 1.07579114302 4.98049899663 8.3650246796
0.01 3.99004968967 2.61866593778 6.60871562745 8.3650246796
0.001 3.99900049969 3.66992438868 7.66892488837 8.3650246796
0.0001 3.999900005 4.1242285093 8.1241285143 8.3650246796
1e-05 3.99999000005 4.28632604779 8.28631604784 8.3650246796
1e-06 3.999999 4.33986645124 8.33986545124 8.3650246796
1e-07 3.9999999 4.35704501566 8.35704491566 8.3650246796
1e-08 3.99999999 4.36249919581 8.36249918581 8.3650246796
1e-09 3.999999999 4.36422585353 8.36422585253 8.3650246796
1e-10 3.9999999999 4.36477204918 8.36477204908 8.3650246796
1e-11 3.99999999999 4.36494478892 8.36494478891 8.3650246796
1e-12 4 4.36499941575 8.36499941575 8.3650246796
