epsilon geometric spectral combined limit
0.1 6.57076618251 0.227354712616 6.79812089512 6.66666666667
0.01 6.65670975247 0.332308538926 6.98901829139 6.66666666667
0.001 6.66566709975 0.235842527308 6.90150962706 6.66666666667
0.0001 6.666566671 0.121955902651 6.78852257365 6.66666666667
1e-05 6.66665666671 0.0549151999641 6.72157186667 6.66666666667
1e-06 6.66666566667 0.023206054815 6.68987172148 6.66666666667
1e-07 6.66666656667 0.00951384762029 6.67618041429 6.66666666667
1e-08 6.66666665667 0.0038431770014 6.67050983367 6.66666666667
1e-09 6.66666666567 0.00154116954065 6.66820783521 6.66666666667
1e-10 6.66666666657 0.000615787057996 6.66728245362 6.66666666667
1e-11 6.66666666666 0.00024559617595 6.66691226283 6.66666666667
1e-12 6.66666666667 9.78628447533e-05 6.66676452951 6.66666666667
